epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,691.35,0.85286,1.42717,1.46317,0.58978,0.67984,0.61566,0.5167,0.46726,1.10327,1.45909,1.75722,0.0096139,0.0096139,0.0096139
41,708.223,0.83638,1.40503,1.45092,0.53069,0.73661,0.6267,0.53456,0.49903,0.99451,1.4566,1.66881,0.009604,0.009604,0.009604
42,725.115,0.83721,1.36551,1.44896,0.64791,0.63151,0.69468,0.59858,0.5559,1.03568,1.48947,1.70942,0.0095941,0.0095941,0.0095941
43,742.27,0.83423,1.36685,1.43811,0.62469,0.72553,0.66141,0.56268,0.51287,1.02994,1.45725,1.72372,0.0095842,0.0095842,0.0095842
44,759.364,0.78239,1.3239,1.40731,0.53891,0.70939,0.65004,0.54489,0.50331,1.04699,1.52198,1.73073,0.0095743,0.0095743,0.0095743
45,776.497,0.80394,1.32483,1.41621,0.66845,0.5553,0.69144,0.57446,0.53838,1.03147,1.44807,1.68283,0.0095644,0.0095644,0.0095644
46,793.585,0.79155,1.31068,1.41258,0.61771,0.71082,0.64507,0.5309,0.4979,1.05844,1.42692,1.76319,0.0095545,0.0095545,0.0095545
47,810.794,0.82288,1.37017,1.43161,0.6662,0.66972,0.69075,0.55652,0.52993,1.11675,1.60186,1.76761,0.0095446,0.0095446,0.0095446
48,827.943,0.79874,1.33509,1.42028,0.6449,0.62489,0.69483,0.58588,0.55534,1.02035,1.35234,1.7176,0.0095347,0.0095347,0.0095347
49,845.022,0.77844,1.29723,1.38965,0.67379,0.64682,0.68229,0.57187,0.53209,1.02906,1.34928,1.64583,0.0095248,0.0095248,0.0095248
50,861.785,0.78677,1.26439,1.38976,0.73015,0.71512,0.72197,0.60717,0.57495,1.00405,1.28497,1.65505,0.0095149,0.0095149,0.0095149
51,878.594,0.79396,1.27752,1.39747,0.56095,0.73348,0.70344,0.61203,0.57417,0.97137,1.45819,1.60571,0.009505,0.009505,0.009505
52,895.525,0.78475,1.22572,1.39835,0.6915,0.65247,0.73947,0.64671,0.59979,0.96445,1.23625,1.65224,0.0094951,0.0094951,0.0094951
53,912.472,0.75289,1.28221,1.36525,0.66682,0.74418,0.72244,0.58238,0.54452,1.07938,1.30935,1.73421,0.0094852,0.0094852,0.0094852
54,929.421,0.76,1.23594,1.37073,0.66629,0.72363,0.72865,0.62904,0.58761,0.95503,1.37296,1.58876,0.0094753,0.0094753,0.0094753
55,946.559,0.74129,1.24928,1.35735,0.77684,0.67803,0.77185,0.67513,0.62337,0.97337,1.24088,1.63084,0.0094654,0.0094654,0.0094654
56,963.26,0.74253,1.21016,1.34347,0.66622,0.77321,0.83224,0.69745,0.66924,1.01669,1.32663,1.61231,0.0094555,0.0094555,0.0094555
57,980.247,0.76116,1.22723,1.36685,0.70011,0.63494,0.74323,0.63418,0.58072,1.02195,1.47554,1.62577,0.0094456,0.0094456,0.0094456
58,997.691,0.77015,1.1782,1.37634,0.74618,0.72332,0.79959,0.69061,0.64014,0.9417,1.12511,1.5645,0.0094357,0.0094357,0.0094357
59,1014.75,0.76926,1.22462,1.37217,0.8242,0.69901,0.81211,0.69877,0.65042,0.99784,1.14269,1.61096,0.0094258,0.0094258,0.0094258
60,1031.64,0.73106,1.17981,1.35267,0.66407,0.68602,0.72468,0.59803,0.56994,1.01922,1.41367,1.64608,0.0094159,0.0094159,0.0094159
61,1048.57,0.77133,1.22228,1.37514,0.59638,0.79423,0.78851,0.69295,0.62733,0.96341,1.29021,1.58407,0.009406,0.009406,0.009406
62,1065.54,0.76809,1.18857,1.36238,0.77575,0.71693,0.76624,0.65224,0.60469,0.96298,1.13234,1.57792,0.0093961,0.0093961,0.0093961
63,1082.46,0.74936,1.19153,1.35777,0.7689,0.74127,0.79934,0.69866,0.64256,0.94351,1.12352,1.53711,0.0093862,0.0093862,0.0093862
64,1099.45,0.76047,1.20473,1.3646,0.71408,0.76583,0.82342,0.70994,0.66083,0.92291,1.14461,1.49857,0.0093763,0.0093763,0.0093763
65,1116.55,0.73479,1.1762,1.33761,0.63775,0.7449,0.74819,0.65337,0.59815,0.96675,1.24283,1.57704,0.0093664,0.0093664,0.0093664
66,1133.47,0.72734,1.18695,1.3461,0.74482,0.69026,0.76067,0.64624,0.60233,0.96374,1.32826,1.5903,0.0093565,0.0093565,0.0093565
67,1150.59,0.7018,1.14317,1.31821,0.66219,0.73698,0.76002,0.65606,0.606,0.94528,1.29205,1.55367,0.0093466,0.0093466,0.0093466
68,1167.61,0.71055,1.15814,1.32265,0.76605,0.68557,0.79308,0.66674,0.61705,1.04959,1.31495,1.64967,0.0093367,0.0093367,0.0093367
69,1184.88,0.75109,1.13284,1.35919,0.54018,0.77214,0.70511,0.61305,0.56423,0.9165,1.34145,1.53653,0.0093268,0.0093268,0.0093268
70,1201.66,0.73095,1.18258,1.33977,0.8121,0.69196,0.80153,0.66417,0.63119,0.99176,1.25345,1.58795,0.0093169,0.0093169,0.0093169
71,1218.71,0.73465,1.13902,1.3381,0.71559,0.76472,0.83964,0.72259,0.66717,0.95417,1.12365,1.53061,0.009307,0.009307,0.009307
72,1235.67,0.74614,1.17282,1.34649,0.77686,0.74923,0.83489,0.71026,0.67655,0.96877,1.07869,1.54067,0.0092971,0.0092971,0.0092971
73,1252.72,0.69821,1.13024,1.31182,0.68154,0.74074,0.79917,0.71045,0.65675,0.89226,1.20036,1.49353,0.0092872,0.0092872,0.0092872
74,1269.79,0.70159,1.15412,1.31933,0.69762,0.77613,0.82389,0.72328,0.67613,0.89914,1.12465,1.50839,0.0092773,0.0092773,0.0092773
75,1286.55,0.71775,1.10463,1.32176,0.68707,0.81901,0.7916,0.68486,0.62559,1.00151,1.11224,1.56935,0.0092674,0.0092674,0.0092674
76,1303.5,0.70752,1.12064,1.31658,0.70185,0.72648,0.79314,0.676,0.63585,0.97841,1.05512,1.56808,0.0092575,0.0092575,0.0092575
