epoch,total_loss,loss_change,loss_smooth
1,11.23214,0.0,11.23214
2,11.25844,0.026300000000000878,11.24529
3,11.24073,-0.017710000000001003,11.24377
4,11.23878,-0.001949999999999008,11.2425225
5,11.19116,-0.04762000000000022,11.232249999999999
6,11.070620000000002,-0.12053999999999832,11.199946
7,10.5716,-0.4990200000000016,11.062577999999998
8,9.55659,-1.0150100000000002,10.72575
9,8.63907,-0.9175199999999997,10.205808000000001
10,7.79172,-0.8473500000000005,9.52592
11,6.80691,-0.9848099999999995,8.673178
12,6.386279999999999,-0.42063000000000095,7.836114
13,5.91549,-0.47078999999999915,7.107894
14,5.72304,-0.19245,6.524688
15,5.4633400000000005,-0.2596999999999996,6.059012000000001
16,5.15329,-0.3100500000000004,5.728288
17,5.10956,-0.04373000000000005,5.472944
18,4.88824,-0.2213200000000004,5.267494
19,4.89372,0.0054800000000003735,5.10163
20,4.662100000000001,-0.2316199999999995,4.941382
21,4.61551,-0.04659000000000102,4.833826
22,4.47563,-0.13987999999999978,4.70704
23,4.35921,-0.11641999999999975,4.601234
24,4.44396,0.08474999999999966,4.511282
25,4.31323,-0.1307299999999998,4.441508
26,4.25756,-0.05567000000000011,4.369918
27,4.17879,-0.07876999999999956,4.31055
28,4.05969,-0.11910000000000043,4.250646
29,4.0465599999999995,-0.013130000000000308,4.171166
30,4.0503599999999995,0.0038000000000000256,4.118592
31,3.9387,-0.11165999999999965,4.05482
32,4.02159,0.08288999999999991,4.0233799999999995
33,3.9122399999999997,-0.10935000000000006,3.9938899999999995
34,3.85349,-0.05874999999999986,3.955275999999999
35,3.86233,0.008840000000000181,3.9176699999999998
36,3.8003899999999997,-0.06194000000000033,3.8900079999999995
37,3.80552,0.005130000000000301,3.846794
38,3.7990200000000005,-0.006499999999999506,3.8241500000000004
39,3.78281,-0.016210000000000502,3.8100140000000002
40,3.7432,-0.039610000000000145,3.786188
41,3.69233,-0.05086999999999975,3.7645760000000004
42,3.6516800000000003,-0.04064999999999985,3.7338080000000007
43,3.63919,-0.012490000000000112,3.701842
44,3.5136000000000003,-0.12558999999999987,3.6480000000000006
45,3.54498,0.03137999999999952,3.6083560000000006
46,3.5148099999999998,-0.03017000000000003,3.572852
47,3.62466,0.10985000000000023,3.567448
48,3.55411,-0.07054999999999989,3.550432
49,3.46532,-0.08878999999999992,3.540776
50,3.44092,-0.024399999999999977,3.5199640000000003
51,3.4689500000000004,0.02803000000000022,3.510792
52,3.4088199999999995,-0.060130000000000905,3.467624
53,3.40035,-0.008469999999999533,3.4368719999999997
54,3.36667,-0.03367999999999993,3.4171420000000006
55,3.3479200000000002,-0.018749999999999822,3.398542
56,3.29616,-0.05176000000000025,3.363984
57,3.35524,0.0590799999999998,3.353268
58,3.32469,-0.030549999999999855,3.338136
59,3.36605,0.04136000000000006,3.338012
60,3.26354,-0.1025100000000001,3.321136
61,3.36875,0.10521000000000003,3.3356539999999995
62,3.3190399999999998,-0.04971000000000014,3.328414
63,3.29866,-0.020379999999999843,3.3232079999999997
64,3.3298,0.031140000000000168,3.3159579999999997
